Organism,Antibiotics,Year,R,S
Enterobacter spp,Amikacin,2004,87,1663
Enterobacter spp,Amikacin,2005,144,1726
Enterobacter spp,Amikacin,2006,265,2348
Enterobacter spp,Amikacin,2007,320,3199
Enterobacter spp,Amikacin,2008,414,2925
Enterobacter spp,Amikacin,2009,430,3316
Enterobacter spp,Amikacin,2010,265,2744
Enterobacter spp,Amikacin,2011,140,2206
Enterobacter spp,Amikacin,2012,153,2691
Enterobacter spp,Amikacin,2013,230,3624
Enterobacter spp,Amikacin,2014,175,3192
Enterobacter spp,Amikacin,2015,191,3112
Enterobacter spp,Amikacin,2016,157,3490
Enterobacter spp,Amikacin,2017,152,2917
Enterobacter spp,Amikacin,2018,159,2737
Enterobacter spp,Amikacin,2019,115,2056
Enterobacter spp,Amikacin,2020,107,2234
Enterobacter spp,Amikacin,2021,116,2278
Enterobacter spp,Amikacin,2022,85,2129
Enterobacter spp,Amoxycillin clavulanate,2004,1692,58
Enterobacter spp,Amoxycillin clavulanate,2005,1821,49
Enterobacter spp,Amoxycillin clavulanate,2006,2525,88
Enterobacter spp,Amoxycillin clavulanate,2007,3388,131
Enterobacter spp,Amoxycillin clavulanate,2008,3213,126
Enterobacter spp,Amoxycillin clavulanate,2009,3621,125
Enterobacter spp,Amoxycillin clavulanate,2010,2906,103
Enterobacter spp,Amoxycillin clavulanate,2011,2265,81
Enterobacter spp,Amoxycillin clavulanate,2012,2675,169
Enterobacter spp,Amoxycillin clavulanate,2013,3729,125
Enterobacter spp,Amoxycillin clavulanate,2014,3215,152
Enterobacter spp,Amoxycillin clavulanate,2015,3184,119
Enterobacter spp,Amoxycillin clavulanate,2016,3529,118
Enterobacter spp,Amoxycillin clavulanate,2017,2982,87
Enterobacter spp,Amoxycillin clavulanate,2018,2821,75
Enterobacter spp,Amoxycillin clavulanate,2019,2091,80
Enterobacter spp,Amoxycillin clavulanate,2020,2242,99
Enterobacter spp,Amoxycillin clavulanate,2021,2300,94
Enterobacter spp,Amoxycillin clavulanate,2022,2108,106
Enterobacter spp,Ampicillin,2004,1699,50
Enterobacter spp,Ampicillin,2005,1821,47
Enterobacter spp,Ampicillin,2006,2547,38
Enterobacter spp,Ampicillin,2007,3408,67
Enterobacter spp,Ampicillin,2008,3183,156
Enterobacter spp,Ampicillin,2009,3604,142
Enterobacter spp,Ampicillin,2010,2911,98
Enterobacter spp,Ampicillin,2011,2255,91
Enterobacter spp,Ampicillin,2012,2694,150
Enterobacter spp,Ampicillin,2013,3604,250
Enterobacter spp,Ampicillin,2014,3101,266
Enterobacter spp,Ampicillin,2015,3082,221
Enterobacter spp,Ampicillin,2016,3417,230
Enterobacter spp,Ampicillin,2017,2866,203
Enterobacter spp,Ampicillin,2018,2657,239
Enterobacter spp,Ampicillin,2019,2015,156
Enterobacter spp,Ampicillin,2020,2177,164
Enterobacter spp,Ampicillin,2021,2249,145
Enterobacter spp,Ampicillin,2022,2027,187
Enterobacter spp,Cefepime,2004,263,1487
Enterobacter spp,Cefepime,2005,354,1516
Enterobacter spp,Cefepime,2006,541,2072
Enterobacter spp,Cefepime,2007,651,2868
Enterobacter spp,Cefepime,2008,801,2538
Enterobacter spp,Cefepime,2009,889,2857
Enterobacter spp,Cefepime,2010,680,2329
Enterobacter spp,Cefepime,2011,460,1886
Enterobacter spp,Cefepime,2012,601,2243
Enterobacter spp,Cefepime,2013,736,3118
Enterobacter spp,Cefepime,2014,644,2723
Enterobacter spp,Cefepime,2015,628,2675
Enterobacter spp,Cefepime,2016,718,2929
Enterobacter spp,Cefepime,2017,649,2420
Enterobacter spp,Cefepime,2018,687,2475
Enterobacter spp,Cefepime,2019,515,1958
Enterobacter spp,Cefepime,2020,552,2017
Enterobacter spp,Cefepime,2021,536,2092
Enterobacter spp,Cefepime,2022,538,2176
Enterobacter spp,Ceftazidime,2005,2,0
Enterobacter spp,Ceftazidime,2006,6,0
Enterobacter spp,Ceftazidime,2007,20,0
Enterobacter spp,Ceftazidime,2008,4,0
Enterobacter spp,Ceftazidime,2009,6,2
Enterobacter spp,Ceftazidime,2010,1063,704
Enterobacter spp,Ceftazidime,2011,706,1624
Enterobacter spp,Ceftazidime,2012,883,1952
Enterobacter spp,Ceftazidime,2013,1205,2649
Enterobacter spp,Ceftazidime,2014,1059,2308
Enterobacter spp,Ceftazidime,2015,1070,2233
Enterobacter spp,Ceftazidime,2016,1070,2577
Enterobacter spp,Ceftazidime,2017,957,2112
Enterobacter spp,Ceftazidime,2018,1098,2064
Enterobacter spp,Ceftazidime,2019,827,1646
Enterobacter spp,Ceftazidime,2020,869,1700
Enterobacter spp,Ceftazidime,2021,872,1756
Enterobacter spp,Ceftazidime,2022,882,1832
Enterobacter spp,Ceftriaxone,2004,588,1162
Enterobacter spp,Ceftriaxone,2005,702,1168
Enterobacter spp,Ceftriaxone,2006,993,1620
Enterobacter spp,Ceftriaxone,2007,1322,2197
Enterobacter spp,Ceftriaxone,2008,1472,1867
Enterobacter spp,Ceftriaxone,2009,1672,2074
Enterobacter spp,Ceftriaxone,2010,1296,1713
Enterobacter spp,Ceftriaxone,2011,858,1488
Enterobacter spp,Ceftriaxone,2012,754,1336
Enterobacter spp,Ceftriaxone,2013,1005,1762
Enterobacter spp,Ceftriaxone,2014,803,1460
Enterobacter spp,Ceftriaxone,2015,893,1459
Enterobacter spp,Ceftriaxone,2016,1280,2367
Enterobacter spp,Ceftriaxone,2017,1120,1949
Enterobacter spp,Imipenem,2004,71,1609
Enterobacter spp,Imipenem,2005,62,1725
Enterobacter spp,Imipenem,2006,32,1487
Enterobacter spp,Imipenem,2007,2,105
Enterobacter spp,Imipenem,2008,0,3
Enterobacter spp,Imipenem,2012,51,703
Enterobacter spp,Imipenem,2013,68,1019
Enterobacter spp,Imipenem,2014,94,1010
Enterobacter spp,Imipenem,2015,125,860
Enterobacter spp,Imipenem,2016,118,1164
Enterobacter spp,Imipenem,2017,105,1057
Enterobacter spp,Imipenem,2018,259,2637
Enterobacter spp,Imipenem,2019,266,1905
Enterobacter spp,Imipenem,2020,303,2038
Enterobacter spp,Imipenem,2021,292,2102
Enterobacter spp,Imipenem,2022,181,2033
Enterobacter spp,Levofloxacin,2004,240,1510
Enterobacter spp,Levofloxacin,2005,324,1546
Enterobacter spp,Levofloxacin,2006,508,2105
Enterobacter spp,Levofloxacin,2007,656,2863
Enterobacter spp,Levofloxacin,2008,781,2558
Enterobacter spp,Levofloxacin,2009,857,2889
Enterobacter spp,Levofloxacin,2010,710,2299
Enterobacter spp,Levofloxacin,2011,425,1921
Enterobacter spp,Levofloxacin,2012,469,2375
Enterobacter spp,Levofloxacin,2013,643,3211
Enterobacter spp,Levofloxacin,2014,526,2841
Enterobacter spp,Levofloxacin,2015,571,2732
Enterobacter spp,Levofloxacin,2016,574,3073
Enterobacter spp,Levofloxacin,2017,495,2574
Enterobacter spp,Levofloxacin,2018,544,2618
Enterobacter spp,Levofloxacin,2019,416,2057
Enterobacter spp,Levofloxacin,2020,432,2137
Enterobacter spp,Levofloxacin,2021,435,2193
Enterobacter spp,Levofloxacin,2022,413,2301
Enterobacter spp,Meropenem,2004,1,69
Enterobacter spp,Meropenem,2005,3,80
Enterobacter spp,Meropenem,2006,29,1065
Enterobacter spp,Meropenem,2007,80,3332
Enterobacter spp,Meropenem,2008,160,3176
Enterobacter spp,Meropenem,2009,144,3602
Enterobacter spp,Meropenem,2010,48,2961
Enterobacter spp,Meropenem,2011,39,2307
Enterobacter spp,Meropenem,2012,36,2808
Enterobacter spp,Meropenem,2013,94,3760
Enterobacter spp,Meropenem,2014,77,3290
Enterobacter spp,Meropenem,2015,118,3185
Enterobacter spp,Meropenem,2016,110,3537
Enterobacter spp,Meropenem,2017,98,2971
Enterobacter spp,Meropenem,2018,119,3043
Enterobacter spp,Meropenem,2019,140,2333
Enterobacter spp,Meropenem,2020,112,2457
Enterobacter spp,Meropenem,2021,142,2486
Enterobacter spp,Meropenem,2022,125,2589
Enterobacter spp,Minocycline,2004,272,1478
Enterobacter spp,Minocycline,2005,328,1542
Enterobacter spp,Minocycline,2006,545,2068
Enterobacter spp,Minocycline,2007,804,2715
Enterobacter spp,Minocycline,2008,1179,2160
Enterobacter spp,Minocycline,2009,1623,2123
Enterobacter spp,Minocycline,2010,1494,1515
Enterobacter spp,Minocycline,2011,569,1777
Enterobacter spp,Minocycline,2012,297,1793
Enterobacter spp,Minocycline,2013,379,2388
Enterobacter spp,Minocycline,2014,270,1993
Enterobacter spp,Minocycline,2015,286,2032
Enterobacter spp,Minocycline,2016,296,2069
Enterobacter spp,Minocycline,2017,203,1704
Enterobacter spp,Piperacillin tazobactam,2004,419,1331
Enterobacter spp,Piperacillin tazobactam,2005,519,1351
Enterobacter spp,Piperacillin tazobactam,2006,745,1868
Enterobacter spp,Piperacillin tazobactam,2007,938,2581
Enterobacter spp,Piperacillin tazobactam,2008,1121,2218
Enterobacter spp,Piperacillin tazobactam,2009,1271,2475
Enterobacter spp,Piperacillin tazobactam,2010,977,2032
Enterobacter spp,Piperacillin tazobactam,2011,617,1729
Enterobacter spp,Piperacillin tazobactam,2012,766,2078
Enterobacter spp,Piperacillin tazobactam,2013,1020,2834
Enterobacter spp,Piperacillin tazobactam,2014,947,2420
Enterobacter spp,Piperacillin tazobactam,2015,890,2413
Enterobacter spp,Piperacillin tazobactam,2016,916,2731
Enterobacter spp,Piperacillin tazobactam,2017,793,2276
Enterobacter spp,Piperacillin tazobactam,2018,942,2220
Enterobacter spp,Piperacillin tazobactam,2019,739,1734
Enterobacter spp,Piperacillin tazobactam,2020,725,1844
Enterobacter spp,Piperacillin tazobactam,2021,800,1828
Enterobacter spp,Piperacillin tazobactam,2022,783,1931
Enterobacter spp,Tigecycline,2004,109,1641
Enterobacter spp,Tigecycline,2005,129,1741
Enterobacter spp,Tigecycline,2006,143,2470
Enterobacter spp,Tigecycline,2007,137,3382
Enterobacter spp,Tigecycline,2008,146,3193
Enterobacter spp,Tigecycline,2009,191,3555
Enterobacter spp,Tigecycline,2010,127,2882
Enterobacter spp,Tigecycline,2011,121,2225
Enterobacter spp,Tigecycline,2012,127,2717
Enterobacter spp,Tigecycline,2013,145,3709
Enterobacter spp,Tigecycline,2014,130,3237
Enterobacter spp,Tigecycline,2015,125,3178
Enterobacter spp,Tigecycline,2016,117,3530
Enterobacter spp,Tigecycline,2017,98,2971
Enterobacter spp,Tigecycline,2018,64,2832
Enterobacter spp,Tigecycline,2019,57,2114
Enterobacter spp,Tigecycline,2020,79,2262
Enterobacter spp,Tigecycline,2021,73,2321
Enterobacter spp,Tigecycline,2022,48,2166
Enterobacter spp,Aztreonam,2012,242,512
Enterobacter spp,Aztreonam,2013,343,744
Enterobacter spp,Aztreonam,2014,362,742
Enterobacter spp,Aztreonam,2015,293,692
Enterobacter spp,Aztreonam,2016,356,926
Enterobacter spp,Aztreonam,2017,378,784
Enterobacter spp,Aztreonam,2018,962,1934
Enterobacter spp,Aztreonam,2019,686,1485
Enterobacter spp,Aztreonam,2020,755,1586
Enterobacter spp,Aztreonam,2021,761,1633
Enterobacter spp,Aztreonam,2022,687,1527
Enterobacter spp,Aztreonam avibactam,2012,1,753
Enterobacter spp,Aztreonam avibactam,2013,1,1086
Enterobacter spp,Aztreonam avibactam,2014,3,1101
Enterobacter spp,Aztreonam avibactam,2015,1,950
Enterobacter spp,Aztreonam avibactam,2016,0,1226
Enterobacter spp,Aztreonam avibactam,2017,0,1118
Enterobacter spp,Aztreonam avibactam,2018,1,2687
Enterobacter spp,Aztreonam avibactam,2019,6,2165
Enterobacter spp,Aztreonam avibactam,2020,1,2340
Enterobacter spp,Aztreonam avibactam,2021,5,2389
Enterobacter spp,Aztreonam avibactam,2022,3,2211
Enterobacter spp,Ceftaroline,2012,308,446
Enterobacter spp,Ceftaroline,2013,429,658
Enterobacter spp,Ceftaroline,2014,448,656
Enterobacter spp,Ceftaroline,2015,384,601
Enterobacter spp,Ceftaroline,2016,443,839
Enterobacter spp,Ceftaroline,2017,469,693
Enterobacter spp,Ceftaroline,2018,1235,1661
Enterobacter spp,Ceftaroline,2019,896,1275
Enterobacter spp,Ceftaroline,2020,959,1382
Enterobacter spp,Ceftaroline,2021,982,1412
Enterobacter spp,Ceftaroline,2022,846,1368
Enterobacter spp,Ceftazidime avibactam,2012,10,744
Enterobacter spp,Ceftazidime avibactam,2013,16,1071
Enterobacter spp,Ceftazidime avibactam,2014,18,1086
Enterobacter spp,Ceftazidime avibactam,2015,29,956
Enterobacter spp,Ceftazidime avibactam,2016,31,1251
Enterobacter spp,Ceftazidime avibactam,2017,28,1134
Enterobacter spp,Ceftazidime avibactam,2018,87,2809
Enterobacter spp,Ceftazidime avibactam,2019,78,2093
Enterobacter spp,Ceftazidime avibactam,2020,74,2267
Enterobacter spp,Ceftazidime avibactam,2021,104,2290
Enterobacter spp,Ceftazidime avibactam,2022,79,2135
Klebsiella pneumoniae,Amikacin,2004,227,1899
Klebsiella pneumoniae,Amikacin,2005,276,2031
Klebsiella pneumoniae,Amikacin,2006,517,2571
Klebsiella pneumoniae,Amikacin,2007,602,3504
Klebsiella pneumoniae,Amikacin,2008,706,3186
Klebsiella pneumoniae,Amikacin,2009,768,3617
Klebsiella pneumoniae,Amikacin,2010,578,2787
Klebsiella pneumoniae,Amikacin,2011,342,2181
Klebsiella pneumoniae,Amikacin,2012,649,3884
Klebsiella pneumoniae,Amikacin,2013,856,5390
Klebsiella pneumoniae,Amikacin,2014,1011,6177
Klebsiella pneumoniae,Amikacin,2015,830,5897
Klebsiella pneumoniae,Amikacin,2016,812,6595
Klebsiella pneumoniae,Amikacin,2017,680,5643
Klebsiella pneumoniae,Amikacin,2018,761,3985
Klebsiella pneumoniae,Amikacin,2019,1050,5110
Klebsiella pneumoniae,Amikacin,2020,1134,5619
Klebsiella pneumoniae,Amikacin,2021,1330,5846
Klebsiella pneumoniae,Amikacin,2022,980,5360
Klebsiella pneumoniae,Amoxycillin clavulanate,2004,430,1696
Klebsiella pneumoniae,Amoxycillin clavulanate,2005,528,1779
Klebsiella pneumoniae,Amoxycillin clavulanate,2006,895,2193
Klebsiella pneumoniae,Amoxycillin clavulanate,2007,1153,2953
Klebsiella pneumoniae,Amoxycillin clavulanate,2008,1505,2387
Klebsiella pneumoniae,Amoxycillin clavulanate,2009,1679,2706
Klebsiella pneumoniae,Amoxycillin clavulanate,2010,1392,1973
Klebsiella pneumoniae,Amoxycillin clavulanate,2011,747,1776
Klebsiella pneumoniae,Amoxycillin clavulanate,2012,1530,3003
Klebsiella pneumoniae,Amoxycillin clavulanate,2013,2398,3848
Klebsiella pneumoniae,Amoxycillin clavulanate,2014,2735,4453
Klebsiella pneumoniae,Amoxycillin clavulanate,2015,2556,4171
Klebsiella pneumoniae,Amoxycillin clavulanate,2016,3090,4317
Klebsiella pneumoniae,Amoxycillin clavulanate,2017,2881,3442
Klebsiella pneumoniae,Amoxycillin clavulanate,2018,2268,2478
Klebsiella pneumoniae,Amoxycillin clavulanate,2019,2164,3996
Klebsiella pneumoniae,Amoxycillin clavulanate,2020,2162,4591
Klebsiella pneumoniae,Amoxycillin clavulanate,2021,2555,4621
Klebsiella pneumoniae,Amoxycillin clavulanate,2022,1908,4432
Klebsiella pneumoniae,Ampicillin,2004,2087,38
Klebsiella pneumoniae,Ampicillin,2005,2255,47
Klebsiella pneumoniae,Ampicillin,2006,3013,44
Klebsiella pneumoniae,Ampicillin,2007,4028,58
Klebsiella pneumoniae,Ampicillin,2008,3850,42
Klebsiella pneumoniae,Ampicillin,2009,4301,84
Klebsiella pneumoniae,Ampicillin,2010,3301,64
Klebsiella pneumoniae,Ampicillin,2011,2395,128
Klebsiella pneumoniae,Ampicillin,2012,4421,112
Klebsiella pneumoniae,Ampicillin,2013,6079,167
Klebsiella pneumoniae,Ampicillin,2014,7009,179
Klebsiella pneumoniae,Ampicillin,2015,6551,176
Klebsiella pneumoniae,Ampicillin,2016,7236,171
Klebsiella pneumoniae,Ampicillin,2017,6232,91
Klebsiella pneumoniae,Ampicillin,2018,4675,71
Klebsiella pneumoniae,Ampicillin,2019,6080,80
Klebsiella pneumoniae,Ampicillin,2020,6677,76
Klebsiella pneumoniae,Ampicillin,2021,7094,82
Klebsiella pneumoniae,Ampicillin,2022,6218,122
Klebsiella pneumoniae,Cefepime,2004,292,1834
Klebsiella pneumoniae,Cefepime,2005,360,1947
Klebsiella pneumoniae,Cefepime,2006,667,2421
Klebsiella pneumoniae,Cefepime,2007,887,3219
Klebsiella pneumoniae,Cefepime,2008,1134,2758
Klebsiella pneumoniae,Cefepime,2009,1329,3056
Klebsiella pneumoniae,Cefepime,2010,1114,2251
Klebsiella pneumoniae,Cefepime,2011,656,1867
Klebsiella pneumoniae,Cefepime,2012,1385,3148
Klebsiella pneumoniae,Cefepime,2013,2054,4192
Klebsiella pneumoniae,Cefepime,2014,2452,4736
Klebsiella pneumoniae,Cefepime,2015,2278,4449
Klebsiella pneumoniae,Cefepime,2016,2742,4665
Klebsiella pneumoniae,Cefepime,2017,2436,3887
Klebsiella pneumoniae,Cefepime,2018,2496,3546
Klebsiella pneumoniae,Cefepime,2019,3302,4384
Klebsiella pneumoniae,Cefepime,2020,3338,4617
Klebsiella pneumoniae,Cefepime,2021,3632,4716
Klebsiella pneumoniae,Cefepime,2022,2833,4011
Klebsiella pneumoniae,Ceftazidime,2004,4,0
Klebsiella pneumoniae,Ceftazidime,2005,7,0
Klebsiella pneumoniae,Ceftazidime,2006,23,0
Klebsiella pneumoniae,Ceftazidime,2007,26,0
Klebsiella pneumoniae,Ceftazidime,2008,18,0
Klebsiella pneumoniae,Ceftazidime,2009,8,0
Klebsiella pneumoniae,Ceftazidime,2010,1315,780
Klebsiella pneumoniae,Ceftazidime,2011,647,1872
Klebsiella pneumoniae,Ceftazidime,2012,1421,3102
Klebsiella pneumoniae,Ceftazidime,2013,2077,4169
Klebsiella pneumoniae,Ceftazidime,2014,2453,4735
Klebsiella pneumoniae,Ceftazidime,2015,2245,4482
Klebsiella pneumoniae,Ceftazidime,2016,2638,4769
Klebsiella pneumoniae,Ceftazidime,2017,2359,3964
Klebsiella pneumoniae,Ceftazidime,2018,2570,3472
Klebsiella pneumoniae,Ceftazidime,2019,3404,4282
Klebsiella pneumoniae,Ceftazidime,2020,3483,4472
Klebsiella pneumoniae,Ceftazidime,2021,3735,4613
Klebsiella pneumoniae,Ceftazidime,2022,2916,3928
Klebsiella pneumoniae,Ceftriaxone,2004,403,1723
Klebsiella pneumoniae,Ceftriaxone,2005,473,1834
Klebsiella pneumoniae,Ceftriaxone,2006,836,2252
Klebsiella pneumoniae,Ceftriaxone,2007,1072,3034
Klebsiella pneumoniae,Ceftriaxone,2008,1384,2508
Klebsiella pneumoniae,Ceftriaxone,2009,1558,2827
Klebsiella pneumoniae,Ceftriaxone,2010,1298,2067
Klebsiella pneumoniae,Ceftriaxone,2011,737,1786
Klebsiella pneumoniae,Ceftriaxone,2012,740,1554
Klebsiella pneumoniae,Ceftriaxone,2013,899,1973
Klebsiella pneumoniae,Ceftriaxone,2014,816,1645
Klebsiella pneumoniae,Ceftriaxone,2015,1048,1754
Klebsiella pneumoniae,Ceftriaxone,2016,2922,4485
Klebsiella pneumoniae,Ceftriaxone,2017,2588,3735
Klebsiella pneumoniae,Imipenem,2004,58,1997
Klebsiella pneumoniae,Imipenem,2005,71,2080
Klebsiella pneumoniae,Imipenem,2006,58,1693
Klebsiella pneumoniae,Imipenem,2007,0,114
Klebsiella pneumoniae,Imipenem,2012,186,2053
Klebsiella pneumoniae,Imipenem,2013,281,3093
Klebsiella pneumoniae,Imipenem,2014,425,4302
Klebsiella pneumoniae,Imipenem,2015,422,3632
Klebsiella pneumoniae,Imipenem,2016,480,4208
Klebsiella pneumoniae,Imipenem,2017,549,3659
Klebsiella pneumoniae,Imipenem,2018,756,3990
Klebsiella pneumoniae,Imipenem,2019,1155,5005
Klebsiella pneumoniae,Imipenem,2020,1413,5340
Klebsiella pneumoniae,Imipenem,2021,1593,5583
Klebsiella pneumoniae,Imipenem,2022,1237,5102
Klebsiella pneumoniae,Levofloxacin,2004,391,1735
Klebsiella pneumoniae,Levofloxacin,2005,461,1846
Klebsiella pneumoniae,Levofloxacin,2006,788,2300
Klebsiella pneumoniae,Levofloxacin,2007,1018,3088
Klebsiella pneumoniae,Levofloxacin,2008,1233,2659
Klebsiella pneumoniae,Levofloxacin,2009,1539,2846
Klebsiella pneumoniae,Levofloxacin,2010,1318,2047
Klebsiella pneumoniae,Levofloxacin,2011,733,1790
Klebsiella pneumoniae,Levofloxacin,2012,1514,3019
Klebsiella pneumoniae,Levofloxacin,2013,2132,4114
Klebsiella pneumoniae,Levofloxacin,2014,2608,4580
Klebsiella pneumoniae,Levofloxacin,2015,2348,4379
Klebsiella pneumoniae,Levofloxacin,2016,2784,4623
Klebsiella pneumoniae,Levofloxacin,2017,2346,3977
Klebsiella pneumoniae,Levofloxacin,2018,2428,3614
Klebsiella pneumoniae,Levofloxacin,2019,3183,4503
Klebsiella pneumoniae,Levofloxacin,2020,3241,4714
Klebsiella pneumoniae,Levofloxacin,2021,3549,4799
Klebsiella pneumoniae,Levofloxacin,2022,2671,4173
Klebsiella pneumoniae,Meropenem,2004,8,63
Klebsiella pneumoniae,Meropenem,2005,19,137
Klebsiella pneumoniae,Meropenem,2006,96,1241
Klebsiella pneumoniae,Meropenem,2007,219,3773
Klebsiella pneumoniae,Meropenem,2008,217,3675
Klebsiella pneumoniae,Meropenem,2009,300,4085
Klebsiella pneumoniae,Meropenem,2010,219,3146
Klebsiella pneumoniae,Meropenem,2011,178,2345
Klebsiella pneumoniae,Meropenem,2012,371,4162
Klebsiella pneumoniae,Meropenem,2013,513,5733
Klebsiella pneumoniae,Meropenem,2014,668,6520
Klebsiella pneumoniae,Meropenem,2015,657,6070
Klebsiella pneumoniae,Meropenem,2016,738,6669
Klebsiella pneumoniae,Meropenem,2017,733,5590
Klebsiella pneumoniae,Meropenem,2018,891,5151
Klebsiella pneumoniae,Meropenem,2019,1302,6384
Klebsiella pneumoniae,Meropenem,2020,1365,6590
Klebsiella pneumoniae,Meropenem,2021,1669,6679
Klebsiella pneumoniae,Meropenem,2022,1223,5621
Klebsiella pneumoniae,Piperacillin tazobactam,2004,279,1847
Klebsiella pneumoniae,Piperacillin tazobactam,2005,383,1924
Klebsiella pneumoniae,Piperacillin tazobactam,2006,644,2444
